threshold,sensitivity,specificity,accuracy,f1,precision,roc_auc
0.425,0.8412,0.5923,0.6294,0.4042,0.2662,0.7968
0.426,0.8397,0.5933,0.63,0.4042,0.2663,0.7968
0.427,0.8397,0.5938,0.6305,0.4045,0.2666,0.7968
0.428,0.8397,0.5951,0.6316,0.4052,0.2671,0.7968
0.429,0.8397,0.5972,0.6333,0.4063,0.2681,0.7968
0.43,0.8397,0.5985,0.6344,0.407,0.2688,0.7968
0.431,0.8397,0.6003,0.636,0.408,0.2696,0.7968
0.432,0.8397,0.6018,0.6373,0.4088,0.2703,0.7968
0.433,0.8397,0.6028,0.6382,0.4095,0.2709,0.7968
0.434,0.8397,0.6044,0.6395,0.4103,0.2716,0.7968
0.435,0.8397,0.6064,0.6412,0.4115,0.2726,0.7968
0.436,0.8397,0.6075,0.6421,0.412,0.2731,0.7968
0.437,0.8397,0.6082,0.6428,0.4125,0.2735,0.7968
0.438,0.8397,0.6088,0.6432,0.4128,0.2738,0.7968
0.439,0.8397,0.6095,0.6439,0.4132,0.2741,0.7968
0.44,0.8397,0.6101,0.6443,0.4135,0.2744,0.7968
0.441,0.8397,0.6108,0.645,0.414,0.2748,0.7968
0.442,0.8397,0.6129,0.6467,0.4152,0.2759,0.7968
0.443,0.8397,0.6139,0.6476,0.4158,0.2764,0.7968
0.444,0.8397,0.6155,0.6489,0.4167,0.2772,0.7968
0.445,0.8397,0.6162,0.6496,0.4171,0.2776,0.7968
0.446,0.8382,0.6175,0.6504,0.4173,0.2779,0.7968
0.447,0.8382,0.6196,0.6522,0.4185,0.279,0.7968
0.448,0.8382,0.6211,0.6535,0.4194,0.2798,0.7968
0.449,0.8382,0.6222,0.6544,0.42,0.2803,0.7968
0.45,0.8382,0.624,0.6559,0.4211,0.2812,0.7968
0.451,0.8382,0.6242,0.6561,0.4212,0.2814,0.7968
0.452,0.8382,0.6253,0.657,0.4218,0.2819,0.7968
0.453,0.8382,0.6268,0.6583,0.4228,0.2828,0.7968
0.454,0.8382,0.6281,0.6594,0.4235,0.2834,0.7968
0.455,0.8382,0.6302,0.6612,0.4248,0.2845,0.7968
0.456,0.8382,0.6322,0.6629,0.426,0.2856,0.7968
0.457,0.8382,0.6338,0.6643,0.427,0.2865,0.7968
0.458,0.8382,0.6345,0.6649,0.4274,0.2869,0.7968
0.459,0.8368,0.6358,0.6658,0.4276,0.2873,0.7968
0.46,0.8368,0.6366,0.6664,0.4281,0.2877,0.7968
0.461,0.8368,0.6376,0.6673,0.4287,0.2882,0.7968
0.462,0.8368,0.6392,0.6686,0.4297,0.2891,0.7968
0.463,0.8368,0.6407,0.67,0.4307,0.29,0.7968
0.464,0.8368,0.642,0.6711,0.4315,0.2907,0.7968
0.465,0.8368,0.643,0.6719,0.4321,0.2913,0.7968
0.466,0.8368,0.6454,0.6739,0.4336,0.2927,0.7968
0.467,0.8368,0.6474,0.6757,0.4349,0.2939,0.7968
0.468,0.8368,0.6485,0.6765,0.4356,0.2945,0.7968
0.469,0.8368,0.65,0.6779,0.4366,0.2954,0.7968
0.47,0.8368,0.6508,0.6785,0.4371,0.2959,0.7968
0.471,0.8368,0.6515,0.6792,0.4376,0.2964,0.7968
0.472,0.8353,0.6526,0.6798,0.4377,0.2966,0.7968
0.473,0.8353,0.6536,0.6807,0.4384,0.2972,0.7968
0.474,0.8338,0.6546,0.6814,0.4385,0.2975,0.7968
0.475,0.8338,0.6557,0.6822,0.4391,0.2981,0.7968
0.476,0.8338,0.6567,0.6831,0.4398,0.2987,0.7968
0.477,0.8338,0.6575,0.6838,0.4403,0.2992,0.7968
0.478,0.8338,0.659,0.6851,0.4414,0.3001,0.7968
0.479,0.8338,0.6598,0.6857,0.4419,0.3006,0.7968
0.48,0.8324,0.6613,0.6868,0.4423,0.3012,0.7968
0.481,0.8324,0.6621,0.6875,0.4428,0.3017,0.7968
0.482,0.8324,0.6634,0.6886,0.4437,0.3025,0.7968
0.483,0.8309,0.6642,0.689,0.4436,0.3026,0.7968
0.484,0.8309,0.6649,0.6897,0.4441,0.3031,0.7968
0.485,0.8309,0.6665,0.691,0.4452,0.3041,0.7968
0.486,0.8294,0.667,0.6912,0.4449,0.304,0.7968
0.487,0.8294,0.6683,0.6923,0.4458,0.3049,0.7968
0.488,0.8294,0.6691,0.693,0.4463,0.3054,0.7968
0.489,0.8279,0.6709,0.6943,0.447,0.3061,0.7968
0.49,0.8265,0.6724,0.6954,0.4474,0.3068,0.7968
0.491,0.8265,0.6732,0.6961,0.4479,0.3073,0.7968
0.492,0.8265,0.6745,0.6971,0.4489,0.3081,0.7968
0.493,0.8265,0.6755,0.698,0.4496,0.3088,0.7968
0.494,0.8265,0.6768,0.6991,0.4505,0.3097,0.7968
0.495,0.8265,0.6776,0.6998,0.451,0.3101,0.7968
0.496,0.8265,0.6791,0.7011,0.4521,0.3111,0.7968
0.497,0.825,0.6802,0.7018,0.4521,0.3114,0.7968
0.498,0.825,0.6812,0.7026,0.4529,0.3121,0.7968
0.499,0.825,0.6825,0.7037,0.4538,0.313,0.7968
